K,S,q,r,sigma,t,price
50.0,90.0,0.14365,0.0991,0.1611177812950031,0.25,2.886263761591831e-13
50.0,90.0,0.14365,0.0991,0.1611177812950031,0.5,4.659304202567009e-07
50.0,90.0,0.14365,0.0991,0.1611177812950031,0.75,6.862027919723135e-05
50.0,90.0,0.14365,0.0991,0.1611177812950031,1.0,0.0009231652996548925
50.0,90.0,0.14365,0.0991,0.26330071698522917,0.25,1.06001828676461e-05
50.0,90.0,0.14365,0.0991,0.26330071698522917,0.5,0.00391853213046582
50.0,90.0,0.14365,0.0991,0.26330071698522917,0.75,0.03438385556217864
50.0,90.0,0.14365,0.0991,0.26330071698522917,1.0,0.11119209454545224
50.0,90.0,0.14365,0.0991,0.38590108597281136,0.25,0.004975660419374916
50.0,90.0,0.14365,0.0991,0.38590108597281136,0.5,0.11932240694785042
50.0,90.0,0.14365,0.0991,0.38590108597281136,0.75,0.40928151594165324
50.0,90.0,0.14365,0.0991,0.38590108597281136,1.0,0.8157288868027034
50.0,90.0,0.14365,0.0991,0.7066863283197075,0.25,0.48972155832580516
50.0,90.0,0.14365,0.0991,0.7066863283197075,0.5,1.99105172955329
50.0,90.0,0.14365,0.0991,0.7066863283197075,0.75,3.6189784257744555
50.0,90.0,0.14365,0.0991,0.7066863283197075,1.0,5.141789622487037
50.0,90.0,0.14365,0.14365,0.001,0.25,0.0
50.0,90.0,0.14365,0.14365,0.001,0.5,0.0
50.0,90.0,0.14365,0.14365,0.001,0.75,0.0
50.0,90.0,0.14365,0.14365,0.001,1.0,0.0
50.0,90.0,0.14365,0.14365,0.1611177812950031,0.25,1.0190753332334265e-13
50.0,90.0,0.14365,0.14365,0.1611177812950031,0.5,1.5968948562195957e-07
